index	words	occurrences
230	growth	372
231	plans	371
232	insurance	371
233	trade	368
234	several	367
235	foreign	366
236	vice	365
237	sale	365
238	yield	364
239	sold	363
240	banks	363
241	pay	362
242	yen	361
243	where	360
244	use	356
245	very	355
246	five	355
247	report	353
248	bid	353
249	few	351
250	less	351
251	loss	349
252	issues	349
253	cash	348
254	computer	348
255	good	346
256	current	344
257	costs	339
258	increase	338
259	due	338
260	used	337
261	management	337
262	city	337
263	public	337
264	bill	337
265	re	336
266	oil	336
267	bush	335
268	bond	335
269	might	331
270	system	329
271	early	328
272	fund	327
273	director	326
274	far	325
275	closed	324
276	law	324
277	treasury	323
278	assets	323
279	added	323
280	third	322
281	congress	321
282	futures	320
283	office	319
284	friday	318
285	least	316
286	too	315
287	case	314
288	small	314
289	already	312
290	traders	312
291	number	311
292	concern	311
293	british	310
294	agency	310
295	spokesman	309
296	september	309
297	home	309
298	real	308
299	california	308
300	stake	307
301	union	307
302	oct	305
303	based	304
304	think	303
305	until	302
306	late	302
307	contract	300
308	going	300
309	services	300
310	value	299
311	officer	299
312	same	298
313	research	297
314	close	294
315	news	292
316	point	291
317	move	290
318	help	290
319	little	289
320	street	289
321	operating	287
322	though	286
323	credit	286
324	economy	284
325	ended	283
326	him	282
327	agreed	282
328	today	281
329	second	280
330	agreement	280
331	wall	279
332	results	278
333	four	277
334	corporate	274
335	without	274
336	firms	274
337	here	272
338	period	271
339	service	270
340	former	269
341	want	269
342	san	269
343	total	268
344	long	268
345	dollar	267
346	put	267
347	power	266
348	called	266
349	although	265
350	buying	265
351	likely	264
352	cost	264
353	production	263
354	thirdquarter	263
355	control	262
356	offering	262
357	policy	262
358	six	261
359	notes	261
360	see	260
361	whether	259
362	problems	259
363	administration	259
364	country	258
365	compared	258
366	recently	257
367	large	257
368	increased	256
369	maker	254
370	analyst	254
371	life	254
372	half	253
373	west	252
374	my	252
375	continue	251
376	go	251
377	right	251
378	committee	250
379	ltd	249
380	political	248
381	judge	248
382	around	247
383	set	247
384	cut	247
385	soviet	247
386	loans	247
387	losses	247
388	plant	244
389	d	244
390	paper	243
391	further	242
392	london	242
393	nov	241
394	points	239
395	old	238
396	ual	238
397	largest	237
398	must	237
399	selling	237
400	volume	237
401	times	236
402	wo	236
403	yet	235
404	announced	234
405	john	234
406	takeover	234
407	workers	231
408	problem	230
409	strong	230
410	result	230
411	businesses	230
412	come	229
413	give	228
414	change	228
415	fiscal	228
416	making	227
417	demand	227
418	orders	227
419	held	226
420	become	226
421	weeks	226
422	declined	226
423	record	225
424	nearly	225
425	earthquake	225
426	support	224
427	series	224
428	association	222
429	official	222
430	expects	221
431	members	221
432	junk	221
433	senior	220
434	composite	220
435	employees	219
436	systems	218
437	certain	218
438	data	217
439	august	216
440	development	216
441	air	216
442	jones	216
443	south	215
444	estimated	215
445	industrial	214
446	acquisition	214
447	priced	213
448	need	213
449	know	212
450	gain	212
451	trust	212
452	took	211
453	line	211
454	commercial	210
455	dow	210
456	show	209
457	white	209
458	estate	209
459	francisco	209
460	comment	208
461	despite	207
462	possible	207
463	your	207
464	chicago	207
465	annual	206
466	level	206
467	example	205
468	holding	205
469	meeting	205
470	texas	205
471	ms	205
472	later	204
473	monday	204
474	health	204
475	currently	203
476	senate	203
477	nation	203
478	executives	203
479	drop	203
480	purchase	203
481	better	203
482	building	203
483	others	203
484	ford	203
485	proposed	202
486	return	201
487	once	200
488	area	200
489	terms	200
490	often	200
491	deal	200
492	almost	199
493	tuesday	199
494	future	199
495	offered	199
496	decline	198
497	paid	198
498	october	197
499	commission	197
500	addition	197
501	product	197
502	expect	196
503	order	196
504	changes	196
505	rise	196
506	proposal	196
507	top	195
508	latest	194
509	m	194
510	robert	194
511	loan	194
512	technology	193
513	washington	192
514	filed	191
515	amount	190
516	charge	190
517	named	189
518	force	189
519	nine	189
520	spending	189
521	every	189
522	rights	189
523	information	188
524	position	188
525	decision	188
526	investor	188
527	outstanding	188
528	makes	187
529	customers	187
530	include	186
531	europe	186
532	gas	186
533	america	186
534	within	185
535	division	184
536	enough	184
537	east	184
538	transaction	183
539	trying	183
540	came	182
541	private	182
542	found	181
543	again	181
544	began	181
545	received	181
546	defense	181
547	drug	180
548	james	179
549	able	179
550	industries	178
551	never	177
552	warner	176
553	equipment	176
554	european	176
555	consumer	175
556	managers	174
557	shareholders	174
558	previous	173
559	claims	173
560	ca	173
561	programs	173
562	told	173
563	car	173
564	local	172
565	finance	172
566	provide	172
567	lot	172
568	dropped	171
569	computers	171
570	inflation	171
571	states	171
572	important	170
573	ve	170
574	marketing	169
575	action	169
576	banking	168
577	china	168
578	best	168
579	following	168
580	manager	167
581	fall	167
582	got	167
583	construction	167
584	march	167
585	buyout	167
586	things	167
587	steel	166
588	whose	166
589	units	166
590	mortgage	166
591	keep	165
592	advertising	165
593	united	165
594	equity	165
595	additional	165
596	financing	165
597	dollars	165
598	suit	165
599	western	164
600	fed	164
601	gains	164
602	low	164
603	tokyo	164
604	charges	164
605	university	163
606	auto	163
607	away	163
608	instead	163
609	great	163
610	budget	163
611	sept	163
612	mrs	162
613	tv	162
614	july	161
615	raise	161
616	family	161
617	via	160
618	june	160
619	bills	159
620	account	159
621	contracts	159
622	potential	158
623	continued	157
624	food	157
625	believe	157
626	rather	157
627	run	157
628	taken	157
629	getting	157
630	lost	157
631	los	157
632	below	156
633	ibm	156
634	personal	155
635	restructuring	155
636	legal	155
637	asked	155
638	security	155
639	risk	154
640	ad	154
641	full	154
642	jaguar	154
643	using	153
644	above	153
645	boston	152
646	probably	152
647	lawyers	152
648	place	151
649	labor	151
650	holders	151
651	fact	151
652	find	151
653	posted	150
654	subsidiary	150
655	approved	149
656	dealers	149
657	meanwhile	149
658	stores	149
659	special	148
660	figures	148
661	noted	148
662	effort	148
663	cases	147
664	itself	147
665	dividend	147
666	head	147
667	effect	147
668	portfolio	146
669	pacific	146
670	face	146
671	soon	146
672	short	146
673	cars	145
674	david	145
675	available	145
676	longterm	145
677	reached	144
678	reports	144
679	included	144
680	calif	144
681	led	143
682	open	143
683	look	143
684	domestic	142
685	statement	142
686	options	142
687	investments	141
688	either	141
689	efforts	141
690	reduce	141
691	left	141
692	center	141
693	along	140
694	looking	140
695	payments	140
696	school	140
697	known	140
698	profits	140
699	working	139
700	bought	139
701	network	139
702	team	138
703	standard	138
704	similar	138
705	telephone	137
706	clear	137
707	airlines	137
708	medical	136
709	saying	136
710	secretary	136
711	acquired	136
712	given	136
713	biggest	136
714	airline	136
715	having	135
716	approval	135
717	remain	135
718	increases	135
719	television	135
720	talks	135
721	calls	135
722	job	135
723	coming	135
724	previously	134
725	c	134
726	clients	134
727	chemical	134
728	parent	134
729	countries	133
730	energy	133
731	manufacturing	133
732	machines	133
733	raised	133
734	individual	133
735	gained	133
736	act	132
737	makers	132
738	black	132
739	attorney	132
740	north	132
741	angeles	132
742	fees	131
743	sp	131
744	hard	131
745	groups	131
746	marks	131
747	reserve	131
748	canadian	130
749	levels	130
750	party	130
751	germany	130
752	me	130
753	different	129
754	yearold	129
755	went	129
756	failed	129
757	lead	129
758	damage	129
759	britain	129
760	strategy	129
761	directors	128
762	why	128
763	growing	128
764	helped	128
765	estimates	128
766	interests	127
767	hong	127
768	michael	127
769	something	127
770	columbia	127
771	completed	126
772	project	126
773	property	126
774	activity	126
775	merrill	126
776	owned	125
777	question	125
778	savings	125
779	william	125
780	doing	125
781	heavy	125
782	performance	125
783	canada	125
784	wants	125
785	limited	125
786	german	125
787	percentage	124
788	particularly	124
789	legislation	124
790	independent	124
791	seeking	124
792	goods	124
793	leading	124
794	hit	124
795	slightly	124
796	bay	124
797	huge	123
798	process	123
799	call	123
800	involved	123
801	communications	123
802	dec	122
803	view	122
804	toward	122
805	drexel	122
806	ever	121
807	includes	121
808	measure	121
809	especially	121
810	build	121
811	really	121
812	remains	121
813	yearearlier	121
814	leaders	121
815	institute	120
816	name	120
817	magazine	120
818	producers	120
819	venture	120
820	role	120
821	kong	120
822	currency	120
823	hold	120
824	plants	120
825	care	120
826	adds	120
827	lynch	120
828	gold	119
829	institutions	119
830	themselves	119
831	scheduled	119
832	joint	119
833	reserves	119
834	abortion	119
835	transportation	119
836	pressure	119
837	gm	119
838	free	118
839	competition	118
840	concerns	118
841	rules	118
842	always	118
843	young	118
844	military	118
845	district	118
846	buyers	118
847	vote	118
848	outside	117
849	begin	117
850	range	117
851	daily	117
852	lines	117
853	acquire	116
854	disclosed	116
855	start	116
856	generally	116
857	accounts	116
858	french	116
859	rep	116
860	basis	116
861	brokerage	116
862	course	115
863	related	115
864	owns	115
865	richard	115
866	holdings	115
867	started	115
868	key	115
869	reason	115
870	man	115
871	hours	115
872	fourth	115
873	am	115
874	wednesday	114
875	means	114
876	try	114
877	staff	114
878	largely	114
879	journal	113
880	study	113
881	issued	113
882	recession	113
883	campaign	113
884	community	113
885	thursday	113
886	ll	113
887	areas	112
888	j	112
889	convertible	112
890	thing	112
891	taking	112
892	seen	112
893	majority	112
894	settlement	112
895	seven	111
896	meet	111
897	april	111
898	eastern	111
899	allow	111
900	leader	111
901	projects	111
902	estimate	111
903	significant	110
904	seems	110
905	retail	110
906	required	109
907	beginning	109
908	bad	109
909	reduced	109
910	done	109
911	form	108
912	worth	108
913	aid	108
914	turn	108
915	brokers	108
916	partners	108
917	needed	108
918	de	108
919	impact	108
920	near	107
921	poor	107
922	quickly	107
923	december	107
924	congressional	107
925	stockindex	107
926	eight	107
927	arbitrage	107
928	kind	106
929	parts	106
930	yields	106
931	b	106
932	turned	106
933	receive	106
934	shearson	106
935	seek	106
936	press	106
937	simply	106
938	test	106
939	benefits	106
940	floor	106
941	express	106
942	plc	105
943	thought	105
944	showed	105
945	member	105
946	subject	105
947	produce	105
948	traded	105
949	democratic	105
950	men	104
951	anything	104
952	ahead	104
953	entertainment	104
954	pound	104
955	longer	103
956	considered	103
957	taxes	103
958	manufacturers	103
959	red	103
960	summer	103
961	shareholder	103
962	france	103
963	consider	103
964	prime	103
965	central	103
966	situation	103
967	merger	103
968	cbs	103
969	earned	103
970	smaller	103
971	seem	102
972	difficult	102
973	brothers	102
974	pilots	102
975	protection	101
976	motor	101
977	increasing	101
978	base	101
979	changed	101
980	note	101
981	history	101
982	conference	101
983	planned	101
984	morgan	101
985	shortterm	100
986	perhaps	100
987	boost	100
988	supply	100
989	women	100
990	returns	100
991	children	100
992	indeed	100
993	natural	100
994	housing	100
995	dr	99
996	deficit	99
997	partner	99
998	crash	99
999	war	99
1000	evidence	99
1001	usually	99
1002	advanced	99
1003	sent	99
1004	justice	99
1005	hurt	99
1006	volatility	99
1007	moody	99
1008	space	98
1009	imports	98
1010	electric	98
1011	bankruptcy	98
1012	rally	98
1013	digital	98
1014	block	97
1015	hand	97
1016	became	97
1017	announcement	97
1018	wanted	97
1019	light	97
1020	sen	97
1021	per	96
1022	attempt	96
1023	bankers	96
1024	active	96
1025	limit	96
1026	post	95
1027	jr	95
1028	machine	95
1029	directly	95
1030	filing	95
1031	preferred	95
1032	americans	95
1033	survey	95
1034	delivery	95
1035	let	95
1036	kidder	95
1037	caused	94
1038	age	94
1039	continuing	94
1040	minister	94
1041	built	94
1042	nothing	94
1043	media	94
1044	actually	94
1045	session	94
1046	veto	94
1047	brand	94
1048	overseas	93
1049	sharply	93
1050	initial	93
1051	jumped	93
1052	article	93
1053	sony	93
1054	conditions	93
1055	night	93
1056	transactions	93
1057	minimum	93
1058	francs	93
1059	spokeswoman	92
1060	auction	92
1061	field	92
1062	software	92
1063	main	92
1064	rest	92
1065	designed	92
1066	george	92
1067	sector	92
1068	mark	92
1069	game	92
1070	water	92
1071	closing	92
1072	environmental	91
1073	exports	91
1074	paying	91
1075	believes	91
1076	quarterly	91
1077	regulators	91
1078	smith	91
1079	behind	91
1080	size	91
1081	created	91
1082	comes	91
1083	source	91
1084	thus	91
1085	wage	91
1086	resources	90
1087	continues	90
1088	thrift	90
1089	creditors	90
1090	giant	90
1091	separate	90
1092	consumers	90
1093	sense	90
1094	letter	90
1095	moves	90
1096	quake	90
1097	decided	89
1098	hopes	89
1099	economists	89
1100	dinkins	89
1101	himself	89
1102	questions	89
1103	partly	89
1104	apparently	89
1105	tons	89
1106	gorbachev	89
1107	guber	89
1108	brought	88
1109	associates	88
1110	peter	88
1111	sure	88
1112	pension	88
1113	r	87
1114	produced	87
1115	strike	87
1116	final	87
1117	side	87
1118	term	87
1119	stop	87
1120	ways	87
1121	farmers	87
1122	peters	87
1123	cancer	86
1124	mass	86
1125	rising	86
1126	idea	86
1127	sec	86
1128	direct	86
1129	effective	86
1130	running	86
1131	organization	86
1132	unless	86
1133	won	86
1134	irs	86
1135	agencies	86
1136	spent	85
1137	expenses	85
1138	capacity	85
1139	together	85
1140	newspaper	85
1141	leveraged	85
1142	hugo	85
1143	emergency	85
1144	qintex	85
1145	bring	84
1146	matter	84
1147	actual	84
1148	hope	84
1149	moreover	84
1150	spring	84
1151	single	84
1152	feel	84
1153	poland	84
1154	woman	84
1155	across	84
1156	shows	84
1157	trial	84
1158	quality	84
1159	hurricane	84
1160	sign	83
1161	improve	83
1162	australia	83
1163	needs	83
1164	ability	83
1165	allowed	83
1166	forced	83
1167	unchanged	83
1168	package	83
1169	democrats	83
1170	nissan	83
1171	holds	82
1172	followed	82
1173	january	82
1174	supreme	82
1175	rule	82
1176	require	82
1177	response	82
1178	discount	82
1179	figure	82
1180	specific	82
1181	land	82
1182	whole	82
1183	offices	82
1184	uk	82
1185	various	82
1186	trades	82
1187	sharp	82
1188	closely	81
1189	ministry	81
1190	sports	81
1191	serious	81
1192	battle	81
1193	quoted	81
1194	payment	81
1195	activities	81
1196	operation	81
1197	store	80
1198	greater	80
1199	economist	80
1200	baker	80
1201	county	80
1202	avoid	80
1203	pretax	80
1204	instance	79
1205	play	79
1206	spend	79
1207	partnership	79
1208	human	78
1209	leave	78
1210	slow	78
1211	jobs	78
1212	developed	78
1213	southern	78
1214	institutional	78
1215	premium	78
1216	talk	78
1217	decade	78
1218	step	78
1219	section	78
1220	safety	78
1221	funding	78
1222	add	78
1223	cause	78
1224	signed	78
1225	develop	78
1226	owners	77
1227	gave	77
1228	separately	77
1229	moved	77
1230	lawyer	77
1231	provision	77
1232	met	77
1233	managing	77
1234	introduced	77
1235	focus	77
1236	hour	77
1237	policies	77
1238	valued	77
1239	speculation	77
1240	researchers	76
1241	story	76
1242	opened	76
1243	cray	76
1244	interview	76
1245	sometimes	76
1246	debentures	76
1247	negative	76
1248	overall	76
1249	familiar	76
1250	offset	76
1251	stanley	76
1252	benefit	76
1253	stay	76
1254	appear	75
1255	properties	75
1256	valley	75
1257	morning	75
1258	review	75
1259	commerce	75
1260	ruling	75
1261	fully	75
1262	contributed	75
1263	offers	75
1264	win	75
1265	takes	75
1266	highly	75
1267	feet	75
1268	provides	75
1269	existing	75
1270	brands	75
1271	fear	75
1272	mutual	74
1273	relatively	74
1274	reflecting	74
1275	electronic	74
1276	lehman	74
1277	measures	74
1278	materials	74
1279	par	74
1280	trader	74
1281	deals	74
1282	civil	74
1283	pence	74
1284	lawson	74
1285	class	73
1286	internal	73
1287	indicated	73
1288	ads	73
1289	students	73
1290	interested	73
1291	overthecounter	73
1292	tell	73
1293	asset	73
1294	create	73
1295	margins	73
1296	backed	73
1297	amounts	72
1298	worldwide	72
1299	elected	72
1300	regulatory	72
1301	engineering	72
1302	authority	72
1303	target	72
1304	flat	72
1305	standards	72
1306	climbed	72
1307	person	72
1308	provisions	72
1309	hands	72
1310	someone	72
1311	jury	72
1312	individuals	72
1313	willing	72
1314	chance	72
1315	appropriations	72
1316	facilities	72
1317	declines	71
1318	resigned	71
1319	book	71
1320	thomas	71
1321	purchases	71
1322	forces	71
1323	provided	71
1324	read	71
1325	else	71
1326	larger	71
1327	accounting	71
1328	everyone	71
1329	passed	71
1330	adding	71
1331	widely	71
1332	alone	71
1333	competitors	71
1334	santa	71
1335	proceeds	71
1336	reagan	71
1337	plunge	71
1338	houses	71
1339	conservative	71
1340	motors	71
1341	worked	70
1342	police	70
1343	risks	70
1344	chain	70
1345	socalled	70
1346	publicly	70
1347	finally	70
1348	death	70
1349	manhattan	70
1350	minority	70
1351	tough	70
1352	planning	70
1353	maintain	70
1354	typically	69
1355	raising	69
1356	substantial	69
1357	electronics	69
1358	considering	69
1359	works	69
1360	investigation	69
1361	hutton	69
1362	eventually	69
1363	practice	69
1364	social	69
1365	necessary	69
1366	goes	69
1367	approach	69
1368	education	69
1369	gulf	69
1370	moving	69
1371	usx	69
1372	cuts	69
1373	swiss	69
1374	room	69
1375	anyone	68
1376	remaining	68
1377	totaled	68
1378	mexico	68
1379	l	68
1380	johnson	68
1381	monetary	68
1382	image	68
1383	ones	68
1384	mostly	68
1385	prevent	68
1386	realestate	68
1387	grand	68
1388	council	68
1389	salomon	68
1390	carrier	68
1391	ownership	68
1392	rating	68
1393	attention	67
1394	events	67
1395	capitalgains	67
1396	improved	67
1397	list	67
1398	scientists	67
1399	principal	67
1400	stand	67
1401	fixed	67
1402	society	67
1403	nj	67
1404	commodity	67
1405	cited	67
1406	acquisitions	67
1407	lloyd	67
1408	travel	67
1409	bell	67
1410	sought	67
1411	neither	66
1412	appears	66
1413	forecast	66
1414	nasdaq	66
1415	giving	66
1416	charles	66
1417	e	66
1418	popular	66
1419	homes	66
1420	date	66
1421	lawmakers	66
1422	laws	66
1423	entire	66
1424	bids	66
1425	municipal	66
1426	paribas	66
1427	st	66
1428	petroleum	66
1429	pentagon	66
1430	thatcher	66
1431	college	65
1432	bidding	65
1433	reorganization	65
1434	negotiations	65
1435	miles	65
1436	details	65
1437	positions	65
1438	reach	65
1439	f	65
1440	output	65
1441	traditional	65
1442	soviets	65
1443	trend	65
1444	parties	65
1445	crime	65
1446	chinese	65
1447	aircraft	65
1448	consultant	65
1449	reform	65
1450	immediately	65
1451	litigation	65
1452	restrictions	65
1453	opening	65
1454	northern	65
1455	opportunity	65
1456	beyond	65
1457	exchanges	65
1458	everything	65
1459	lose	65
1460	bridge	65
1461	drugs	65
1462	retirement	65
1463	nor	64
1464	modest	64
1465	treatment	64
1466	monthly	64
1467	bureau	64
1468	factors	64
1469	reduction	64
1470	particular	64
1471	items	64
1472	relations	64
1473	claim	64
1474	film	64
1475	telecommunications	64
1476	experts	64
1477	customer	64
1478	opposition	64
1479	corn	64
1480	england	63
1481	rejected	63
1482	dividends	63
1483	heavily	63
1484	chapter	63
1485	involving	63
1486	movie	63
1487	apple	63
1488	november	63
1489	export	63
1490	mean	63
1491	saw	63
1492	access	63
1493	design	63
1494	expectations	63
1495	experience	63
1496	subordinated	63
1497	sources	63
1498	accept	63
1499	sun	63
1500	cable	63
1501	attributed	63
1502	lin	63
1503	complete	62
1504	pending	62
1505	chips	62
1506	combined	62
1507	believed	62
1508	lack	62
1509	carry	62
1510	players	62
1511	mitsubishi	62
1512	republican	62
1513	fraud	62
1514	flow	62
1515	regional	62
1516	th	62
1517	couple	62
1518	cover	62
1519	magazines	62
1520	wrote	62
1521	ag	62
1522	spread	62
1523	minutes	62
1524	option	62
1525	disaster	62
1526	copper	62
1527	schools	61
1528	maturity	61
1529	ohio	61
1530	troubled	61
1531	producer	61
1532	consulting	61
1533	easy	61
1534	increasingly	61
1535	difference	61
1536	certainly	61
1537	broad	61
1538	mail	61
1539	georgiapacific	61
1540	owner	61
1541	navigation	61
1542	healthcare	61
1543	publishing	60
1544	amid	60
1545	fight	60
1546	success	60
1547	concerned	60
1548	paul	60
1549	gives	60
1550	automotive	60
1551	technical	60
1552	strength	60
1553	employee	60
1554	expensive	60
1555	thousands	60
1556	season	60
1557	alleged	60
1558	split	60
1559	heart	60
1560	aimed	60
1561	debate	60
1562	brown	60
1563	requirements	60
1564	weak	60
1565	profitable	60
1566	mortgages	60
1567	campeau	60
1568	gene	60
1569	grow	60
1570	controls	59
1571	released	59
1572	plus	59
1573	clearly	59
1574	showing	59
1575	sells	59
1576	expansion	59
1577	listed	59
1578	runs	59
1579	trouble	59
1580	facility	59
1581	sterling	59
1582	sort	59
1583	putting	59
1584	headed	59
1585	insurers	59
1586	material	58
1587	hotel	58
1588	true	58
1589	trucks	58
1590	primarily	58
1591	launched	58
1592	reflects	58
1593	moscow	58
1594	slowdown	58
1595	purchased	58
1596	ending	58
1597	prepared	58
1598	panel	58
1599	roughly	58
1600	headquarters	58
1601	waiting	58
1602	steps	58
1603	appeal	58
1604	successful	58
1605	corporations	58
1606	live	58
1607	painewebber	58
1608	maybe	58
1609	broadcasting	58
1610	tomorrow	58
1611	philip	58
1612	manville	58
1613	mixte	58
1614	highest	57
1615	expand	57
1616	conn	57
1617	values	57
1618	prosecutors	57
1619	goldman	57
1620	plunged	57
1621	slowing	57
1622	improvement	57
1623	dozen	57
1624	version	57
1625	underwriters	57
1626	gets	57
1627	victims	57
1628	tried	57
1629	region	57
1630	arizona	57
1631	charged	57
1632	damaged	57
1633	associated	57
1634	criminal	57
1635	ratings	57
1636	original	57
1637	ventures	57
1638	drive	57
1639	voters	57
1640	powerful	57
1641	complex	57
1642	lending	57
1643	signs	56
1644	settled	56
1645	korea	56
1646	advertisers	56
1647	adviser	56
1648	nuclear	56
1649	documents	56
1650	developing	56
1651	annually	56
1652	centers	56
1653	except	56
1654	tests	56
1655	client	56
1656	radio	56
1657	favor	56
1658	controlled	56
1659	dispute	56
1660	sci	56
1661	failure	56
1662	park	56
1663	quite	56
1664	represents	56
1665	mind	56
1666	rated	56
1667	revised	56
1668	sears	56
1669	declining	55
1670	grew	55
1671	mayor	55
1672	traffic	55
1673	request	55
1674	vehicles	55
1675	fewer	55
1676	exxon	55
1677	affairs	55
1678	hundreds	55
1679	bat	55
1680	words	55
1681	stations	55
1682	guilty	55
1683	jack	55
1684	ny	55
1685	att	55
1686	model	55
1687	chemicals	55
1688	junkbond	55
1689	w	55
1690	portion	55
1691	break	55
1692	residents	55
1693	guidelines	55
1694	trillion	54
1695	speed	54
1696	distribution	54
1697	placed	54
1698	assistant	54
1699	advance	54
1700	unlike	54
1701	frank	54
1702	surged	54
1703	adjusted	54
1704	phone	54
1705	baseball	54
1706	jersey	54
1707	ease	54
1708	actions	54
1709	pretty	54
1710	professional	54
1711	dallas	54
1712	normal	54
1713	sir	54
1714	la	54
1715	exercise	54
1716	afternoon	54
1717	proposals	54
1718	competitive	54
1719	bit	54
1720	defendants	54
1721	shift	54
1722	nations	53
1723	phillips	53
1724	town	53
1725	utilities	53
1726	devices	53
1727	balance	53
1728	australian	53
1729	mae	53
1730	sachs	53
1731	global	53
1732	significantly	53
1733	sides	53
1734	whom	53
1735	uncertainty	53
1736	practices	53
1737	attorneys	53
1738	cities	53
1739	hostile	53
1740	yearago	53
1741	elsewhere	53
1742	starting	53
1743	cds	53
1744	republicans	53
1745	numbers	53
1746	coupon	53
1747	responsible	53
1748	liability	53
1749	paris	53
1750	faces	52
1751	predicted	52
1752	star	52
1753	books	52
1754	accused	52
1755	environment	52
1756	falling	52
1757	lee	52
1758	parents	52
1759	wrong	52
1760	critics	52
1761	florida	52
1762	thrifts	52
1763	weakness	52
1764	nekoosa	52
1765	strategic	52
1766	segment	52
1767	remained	52
1768	amendment	52
1769	broker	52
1770	recovery	52
1771	collapse	52
1772	truck	52
1773	golden	52
1774	sa	52
1775	accord	52
1776	communist	52
1777	stopped	51
1778	virtually	51
1779	alan	51
1780	ordered	51
1781	appeals	51
1782	instruments	51
1783	decide	51
1784	threat	51
1785	ii	51
1786	producing	51
1787	throughout	51
1788	played	51
1789	hospital	51
1790	fears	51
1791	unusual	51
1792	mainly	51
1793	release	51
1794	losing	51
1795	sea	51
1796	employment	51
1797	benchmark	51
1798	certificates	51
1799	healthy	51
1800	pm	51
1801	continental	51
1802	houston	51
1803	relief	51
1804	burnham	51
1805	frankfurt	51
1806	weekend	51
1807	bear	51
1808	mccaw	51
1809	buildings	50
1810	chrysler	50
1811	century	50
1812	boosted	50
1813	follows	50
1814	settle	50
1815	effects	50
1816	contrast	50
1817	deputy	50
1818	movies	50
1819	election	50
1820	voice	50
1821	opposed	50
1822	suggest	50
1823	primary	50
1824	authorities	50
1825	names	50
1826	interstate	50
1827	opinion	50
1828	kept	50
1829	metals	50
1830	soared	50
1831	deposit	50
1832	felt	50
1833	confidence	50
1834	established	50
1835	abroad	50
1836	structure	50
1837	fe	50
1838	mca	50
1839	finding	49
1840	mixed	49
1841	editor	49
1842	fine	49
1843	reflect	49
1844	ready	49
1845	statistics	49
1846	double	49
1847	discussions	49
1848	art	49
1849	studies	49
1850	substantially	49
1851	core	49
1852	judges	49
1853	pricing	49
1854	reasons	49
1855	moment	49
1856	deposits	49
1857	margin	49
1858	temporary	49
1859	krenz	49
